"Seq1.bam"	"Seq2.bam"	"Seq3.bam"	"Seq4.bam"	"Seq5.bam"	"Seq6.bam"
"BQ2027_MB1009"	4027	3220	4582	6948	4743	5501
"BQ2027_MB1010"	630	578	781	1137	761	923
"BQ2027_MB1011c"	781	791	805	767	585	713
"BQ2027_MB1012"	498	586	568	900	673	1127
"BQ2027_MB1013"	318	345	387	724	584	847
"BQ2027_MB1014"	108	119	130	179	160	210
"BQ2027_MB1015"	161	161	184	162	121	172
"BQ2027_MB1016c"	850	766	933	271	235	298
"BQ2027_MB1017c"	2019	1796	2434	571	501	507
"BQ2027_MB1018c"	7794	7194	8879	2345	2058	2286
"BQ2027_MB1019c"	214	262	277	247	204	238
"BQ2027_MB1020"	377	317	374	528	453	511
"BQ2027_MB1021"	912	852	1031	1190	905	1152
"BQ2027_MB1022"	185	175	217	268	201	269
"BQ2027_MB1023"	4233	3711	4547	5433	3597	5229
"BQ2027_MB1023A"	586	590	642	854	600	832
"BQ2027_MB1024"	469	465	564	648	524	602
"BQ2027_MB1025"	687	626	792	558	411	459
"BQ2027_MB1026"	518	391	671	290	224	250
"BQ2027_MB1027c"	1343	1481	1710	884	604	710
"BQ2027_MB1028"	559	645	643	401	309	410
"BQ2027_MB1029c"	650	658	744	357	233	292
"BQ2027_MB1030"	147	120	166	489	303	500
"BQ2027_MB1031c"	689	590	1104	7267	4825	5661
"BQ2027_MB1032c"	355	329	418	474	309	379
"BQ2027_MB1033"	1284	1444	1431	1790	1267	1736
"BQ2027_MB1034c"	694	701	749	557	427	546
"BQ2027_MB1035"	212	147	188	122	78	89
"BQ2027_MB1036"	2337	2126	2499	649	599	597
"BQ2027_MB1037"	361	267	386	185	141	152
"BQ2027_MB1038"	349	354	389	232	151	201
"BQ2027_MB1040"	56	55	73	28	32	28
"BQ2027_MB1041"	3395	2841	3540	1669	1118	1395
"BQ2027_MB1042c"	260	188	286	128	98	95
"BQ2027_MB1043c"	1839	1506	1563	905	777	863
"BQ2027_MB1044c"	628	718	681	589	470	578
"BQ2027_MB1045c"	1442	1242	1466	988	720	911
"BQ2027_MB1046c"	1173	1116	1277	1541	1233	1376
"BQ2027_MB1047"	1015	1019	1029	1113	786	1007
"BQ2027_MB1048"	1148	1047	1386	1289	921	1140
"BQ2027_MB1049"	262	255	315	300	210	351
"BQ2027_MB1050"	214	222	280	242	192	254
"BQ2027_MB1051"	623	584	744	656	496	581
"BQ2027_MB1052"	175	144	188	195	185	200
"BQ2027_MB1053"	80	96	125	186	144	187
"BQ2027_MB1054"	89	77	94	156	104	144
"BQ2027_MB1055c"	49	45	61	65	55	81
"BQ2027_MB1056c"	870	856	1163	773	503	685
"BQ2027_MB1057"	13	16	20	12	6	8
"BQ2027_MB1058"	279	305	341	143	134	136
"BQ2027_MB1059"	160	180	184	184	157	184
"BQ2027_MB1060"	86	107	121	93	103	78
"BQ2027_MB1061c"	419	405	445	715	507	657
"BQ2027_MB1062c"	304	257	374	721	509	610
"BQ2027_MB1063c"	19	26	28	7	4	9
"BQ2027_MB1064c"	90	78	88	51	63	46
"BQ2027_MB1065c"	32	36	34	32	23	30
"BQ2027_MB1066c"	281	321	313	1162	988	1363
"BQ2027_MB1067c"	650	561	621	1726	1655	2347
"BQ2027_MB1068c"	983	748	1155	2078	2050	2102
"BQ2027_MB1069c"	2503	2051	2682	3431	3619	3252
"BQ2027_MB1070c"	278	249	325	128	97	122
"BQ2027_MB1071c"	536	602	630	496	327	337
"BQ2027_MB1072c"	1410	1406	1562	1176	1021	1178
"BQ2027_MB1073"	341	322	437	142	126	98
"BQ2027_MB1074"	539	641	888	425	381	419
"BQ2027_MB1075c"	4256	4340	4956	2768	2318	2786
"BQ2027_MB1076"	270	241	391	210	173	175
"BQ2027_MB1077c"	3237	3321	3644	632	516	618
"BQ2027_MB1078"	290	266	283	134	147	141
"BQ2027_MB1079"	115	143	129	67	64	90
"BQ2027_MB1080c"	72	103	86	36	33	29
"BQ2027_MB1081"	262	278	271	194	156	167
"BQ2027_MB1082c"	377	339	341	321	222	326
"BQ2027_MB1083"	327	322	398	272	248	265
"BQ2027_MB1084"	57	61	48	53	33	42
"BQ2027_MB1085"	620	732	692	504	283	375
"BQ2027_MB1086"	2150	1916	2332	2913	2080	2292
"BQ2027_MB1087"	360	388	410	367	239	271
"BQ2027_MB1088"	349	302	369	403	346	376
"BQ2027_MB1089"	419	503	426	304	211	243
"BQ2027_MB1090"	298	327	310	251	167	201
"BQ2027_MB1091"	274	257	387	267	194	228
"BQ2027_MB1092c"	733	757	879	875	677	798
"BQ2027_MB1093c"	141	113	141	161	166	192
"BQ2027_MB1094"	699	740	831	1002	808	844
"BQ2027_MB1095"	206	177	294	299	230	207
"BQ2027_MB1096c"	403	253	546	473	364	395
"BQ2027_MB1097c"	99	93	176	210	195	179
"BQ2027_MB1098c"	501	478	499	467	380	463
"BQ2027_MB1099c"	474	456	535	398	301	408
"BQ2027_MB1100c"	470	403	439	355	251	308
"BQ2027_MB1101"	12583	12485	14016	19370	14974	17991
"BQ2027_MB1102"	2450	2420	2867	3955	3016	3749
"BQ2027_MB1103c"	3362	2791	3745	4025	3086	4041
"BQ2027_MB1104c"	543	583	615	2116	1544	1839
"BQ2027_MB1105"	600	618	696	2690	1908	2830
"BQ2027_MB1106"	1327	1226	1532	1735	1269	1640
"BQ2027_MB1107"	3914	2933	4507	1418	1203	1177
"BQ2027_MB1108"	2010	1734	2408	1265	847	939
"BQ2027_MB1109c"	6741	7032	7562	6959	5017	6561
"BQ2027_MB1110c"	229	208	300	187	142	128
"BQ2027_MB1111"	1801	1785	2116	1677	1394	1618
"BQ2027_MB1112"	312	340	387	374	253	337
"BQ2027_MB1113"	587	530	849	848	574	629
"BQ2027_MB1114c"	336	294	354	318	242	274
"BQ2027_MB1115"	499	549	608	511	362	436
"BQ2027_MB1116"	427	268	667	1125	781	871
"BQ2027_MB1116A"	87	58	79	45	25	25
"BQ2027_MB1117"	277	231	282	48	32	54
"BQ2027_MB1118"	124	134	141	20	11	30
"BQ2027_MB1119"	83	52	117	13	11	6
"BQ2027_MB1120"	146	90	181	35	31	33
"BQ2027_MB1121"	645	452	961	969	637	701
"BQ2027_MB1122c"	337	351	395	289	219	305
"BQ2027_MB1123"	2077	1857	2107	2314	1759	2163
"BQ2027_MB1124"	7134	7497	7994	10255	8634	10686
"BQ2027_MB1125"	2575	2411	2838	3485	2822	3318
"BQ2027_MB1126"	1648	1509	1547	1015	904	1122
"BQ2027_MB1127c"	762	727	785	583	581	707
"BQ2027_MB1128c"	1141	882	1231	878	763	911
"BQ2027_MB1129c"	930	840	930	626	480	605
"BQ2027_MB1130"	517	450	554	530	371	441
"BQ2027_MB1131c"	321	324	400	183	159	198
"BQ2027_MB1132c"	447	433	501	191	219	257
"BQ2027_MB1133c"	734	760	794	333	202	275
"BQ2027_MB1134"	277	241	276	208	167	170
"BQ2027_MB1135"	53	51	67	107	55	58
"BQ2027_MB1136c"	441	452	509	643	530	667
"BQ2027_MB1137c"	143	156	196	264	239	267
"BQ2027_MB1138c"	486	411	571	885	665	855
"BQ2027_MB1139c"	2106	1881	2063	2327	1926	2440
"BQ2027_MB1140"	1143	1028	1139	1454	888	1248
"BQ2027_MB1141c"	906	789	890	952	654	826
"BQ2027_MB1142"	145	161	168	72	58	78
"BQ2027_MB1143"	67	79	87	73	34	55
"BQ2027_MB1144"	141	156	150	85	56	68
"BQ2027_MB1145"	112	98	139	108	105	101
"BQ2027_MB1146"	7	11	15	29	23	30
"BQ2027_MB1147c"	110	127	115	182	177	189
"BQ2027_MB1148"	623	664	658	810	633	843
"BQ2027_MB1149c"	381	360	414	445	305	448
"BQ2027_MB1150c"	94	76	94	41	57	47
"BQ2027_MB1151c"	24	29	46	34	25	28
"BQ2027_MB1152"	1764	1749	1804	849	760	894
"BQ2027_MB1153"	499	429	560	411	347	389
"BQ2027_MB1154c"	341	324	358	305	260	272
"BQ2027_MB1155"	168	195	215	187	112	127
"BQ2027_MB1156"	144	136	155	155	141	150
"BQ2027_MB1157c"	200	192	218	205	189	225
"BQ2027_MB1158c"	577	538	623	713	556	708
"BQ2027_MB1159c"	493	500	563	164	120	171
"BQ2027_MB1160c"	423	473	614	366	292	441
"BQ2027_MB1161"	1639	1443	2366	1995	1274	1790
"BQ2027_MB1162"	795	753	1147	1166	930	1374
"BQ2027_MB1163"	720	659	861	1090	802	1103
"BQ2027_MB1164c"	7540	5320	9380	9267	6980	7978
"BQ2027_MB1165"	25	27	19	49	38	49
"BQ2027_MB1166c"	376	348	413	2569	1840	2260
"BQ2027_MB1167"	20	19	23	105	53	97
"BQ2027_MB1168"	63	43	46	19	17	12
"BQ2027_MB1169c"	36	42	66	24	29	10
"BQ2027_MB1170c"	211	233	245	161	119	133
"BQ2027_MB1171c"	131	144	180	99	81	78
"BQ2027_MB1172"	668	661	699	508	404	486
"BQ2027_MB1173c"	408	425	472	344	245	350
"BQ2027_MB1174c"	707	588	753	832	708	775
"BQ2027_MB1175"	440	303	440	256	192	208
"BQ2027_MB1176"	1803	1824	1864	1211	1156	1230
"BQ2027_MB1177"	772	841	1044	519	342	415
"BQ2027_MB1178"	672	654	904	560	289	411
"BQ2027_MB1179c"	3089	2870	3509	838	593	795
"BQ2027_MB1180"	437	510	540	296	227	226
"BQ2027_MB1181"	238	225	333	126	85	96
"BQ2027_MB1182c"	211	260	311	196	152	158
"BQ2027_MB1183"	383	397	408	896	691	931
"BQ2027_MB1184c"	727	650	789	808	674	738
"BQ2027_MB1185c"	290	364	327	234	147	217
"BQ2027_MB1186"	604	665	638	1162	879	1130
"BQ2027_MB1186A"	376	385	303	399	281	312
"BQ2027_MB1187"	2643	2633	2755	3032	2500	3136
"BQ2027_MB1188c"	1746	1257	2090	1952	1543	1772
"BQ2027_MB1189c"	605	351	905	999	772	810
"BQ2027_MB1190"	1170	1040	1287	848	739	802
"BQ2027_MB1191c"	404	442	409	436	318	456
"BQ2027_MB1192"	100	91	90	83	76	81
"BQ2027_MB1193"	1943	2115	2090	1793	1632	1787
"BQ2027_MB1194"	420	410	437	560	503	623
"BQ2027_MB1195"	59	70	61	86	77	68
"BQ2027_MB1196"	81	87	88	85	80	78
"BQ2027_MB1197"	542	502	546	394	285	350
"BQ2027_MB1198"	1301	1248	1623	862	559	730
"BQ2027_MB1199c"	624	554	668	612	504	656
"BQ2027_MB1200c"	838	783	1258	412	394	348
"BQ2027_MB1201c"	2512	3045	3276	639	652	605
"BQ2027_MB1202c"	9720	10474	10891	2367	2480	2328
"BQ2027_MB1203"	576	514	648	412	306	410
"BQ2027_MB1204"	282	301	337	264	233	199
"BQ2027_MB1205c"	369	288	362	682	509	584
"BQ2027_MB1206"	3528	3719	3804	5168	3949	4929
"BQ2027_MB1207c"	4968	4736	4813	5452	4146	5265
"BQ2027_MB1208c"	1522	1581	1673	1428	1178	1390
"BQ2027_MB1209c"	196	198	197	109	84	143
"BQ2027_MB1210"	3981	3910	4438	3871	3052	3404
"BQ2027_MB1211"	1828	1787	2361	2462	2024	2093
"BQ2027_MB1212c"	1191	892	1515	1371	1155	1253
"BQ2027_MB1213"	480	493	541	211	111	139
"BQ2027_MB1214"	221	256	219	95	63	90
"BQ2027_MB1215"	106	136	125	103	62	107
"BQ2027_MB1216c"	88	86	87	72	49	61
"BQ2027_MB1217c"	753	766	643	458	330	410
"BQ2027_MB1218c"	352	304	349	229	174	229
"BQ2027_MB1219"	400	351	432	911	650	727
"BQ2027_MB1220"	173	130	194	377	285	249
"BQ2027_MB1221"	89	106	110	149	95	103
"BQ2027_MB1222"	168	190	262	207	130	179
"BQ2027_MB1223"	291	274	378	436	298	294
"BQ2027_MB1224"	2604	2281	2932	5131	3857	4784
"BQ2027_MB1225"	728	637	987	1339	858	1049
"BQ2027_MB1226c"	2593	2925	2900	1587	1187	1398
"BQ2027_MB1227"	4333	4298	4403	1272	1910	1550
"BQ2027_MB1228"	4331	3613	4699	2062	2462	2078
"BQ2027_MB1229"	1892	1579	1887	1208	1532	1498
"BQ2027_MB1230"	1049	1119	1204	695	780	774
"BQ2027_MB1231c"	394	355	517	303	341	260
"BQ2027_MB1232"	822	930	1132	1065	771	848
"BQ2027_MB1233c"	2608	2577	2699	1018	944	992
"BQ2027_MB1234"	757	696	847	475	364	494
"BQ2027_MB1235c"	132	101	152	79	73	66
"BQ2027_MB1236c"	619	568	717	342	294	305
"BQ2027_MB1237"	462	425	523	904	737	887
"BQ2027_MB1238"	668	609	680	1495	1201	1494
"BQ2027_MB1239"	469	363	480	668	467	582
"BQ2027_MB1240"	429	376	437	504	404	462
"BQ2027_MB1241"	692	649	737	639	485	591
"BQ2027_MB1242"	372	407	431	340	271	352
"BQ2027_MB1243"	2327	2463	2437	2240	1617	1950
"BQ2027_MB1244c"	1631	1486	1834	1296	926	1241
"BQ2027_MB1245"	758	784	800	695	602	678
"BQ2027_MB1246c"	181	189	228	1684	1228	1463
"BQ2027_MB1247c"	1318	1320	1536	1017	841	951
"BQ2027_MB1248c"	490	535	614	322	217	298
"BQ2027_MB1249c"	465	409	681	325	221	215
"BQ2027_MB1250c"	367	326	377	187	144	156
"BQ2027_MB1251c"	471	464	412	191	152	183
"BQ2027_MB1252c"	396	339	395	682	514	558
"BQ2027_MB1253"	18082	16455	21140	9017	7555	9274
"BQ2027_MB1254"	3399	2905	4061	2750	2138	2548
"BQ2027_MB1255"	4972	4491	5521	5241	4035	5026
"BQ2027_MB1256"	986	800	1025	1184	848	1090
"BQ2027_MB1257c"	1406	1122	1725	1155	906	1129
"BQ2027_MB1258c"	1099	880	1498	652	444	528
"BQ2027_MB1259c"	469	400	581	398	293	337
"BQ2027_MB1260"	961	1050	1184	948	828	1007
"BQ2027_MB1261c"	1689	1596	1897	1786	1316	1386
"BQ2027_MB1262c"	692	720	864	1261	1000	1140
"BQ2027_MB1263c"	443	397	491	480	358	476
"BQ2027_MB1264c"	630	653	730	574	432	482
"BQ2027_MB1265c"	483	499	567	547	418	535
"BQ2027_MB1266"	551	566	572	723	482	572
"BQ2027_MB1267"	810	821	887	674	617	695
"BQ2027_MB1268"	231	216	242	292	188	230
"BQ2027_MB1269"	193	208	212	219	164	164
"BQ2027_MB1270"	597	645	567	416	320	445
"BQ2027_MB1271c"	457	431	413	230	156	249
"BQ2027_MB1272"	2114	1940	2070	1294	1205	1244
"BQ2027_MB1273"	210	216	218	149	132	156
"BQ2027_MB1274"	266	257	297	170	150	182
"BQ2027_MB1275c"	138	88	241	96	60	66
"BQ2027_MB1276"	470	426	499	394	290	357
"BQ2027_MB1277c"	1040	994	1222	787	584	686
"BQ2027_MB1278c"	171	166	165	140	94	106
"BQ2027_MB1279c"	413	370	407	332	269	312
"BQ2027_MB1280c"	6161	5552	6637	7571	5704	7656
"BQ2027_MB1281c"	636	656	739	1181	870	996
"BQ2027_MB1282"	259	244	319	275	209	241
"BQ2027_MB1283c"	545	581	615	405	289	415
"BQ2027_MB1284c"	118	91	143	113	99	99
"BQ2027_MB1285"	398	401	392	385	235	385
"BQ2027_MB1286"	829	834	842	1040	877	1204
"BQ2027_MB1287c"	197	213	176	145	150	175
"BQ2027_MB1288c"	241	213	316	168	131	175
"BQ2027_MB1289"	157	181	221	89	48	59
"BQ2027_MB1290"	185	212	224	133	118	162
"BQ2027_MB1291"	95	91	78	61	66	72
"BQ2027_MB1292c"	264	293	262	187	167	220
"BQ2027_MB1293c"	158	173	188	118	78	74
"BQ2027_MB1294"	401	340	403	157	127	128
"BQ2027_MB1295"	4304	4175	5640	2769	2164	2334
"BQ2027_MB1296"	2244	2089	2262	6578	4367	6141
"BQ2027_MB1297c"	2221	1813	2543	2114	1602	1725
"BQ2027_MB1297CA"	877	805	933	849	583	728
"BQ2027_MB1297CB"	956	887	969	1116	864	1046
"BQ2027_MB1298c"	223	201	228	124	99	147
"BQ2027_MB1299c"	90	61	100	57	51	67
"BQ2027_MB1300c"	199	154	192	108	92	119
"BQ2027_MB1301c"	500	438	472	253	184	240
"BQ2027_MB1302c"	143	123	139	251	260	246
"BQ2027_MB1303c"	401	355	434	479	403	461
"BQ2027_MB1304c"	194	199	205	243	200	258
"BQ2027_MB1305"	1112	1045	1018	972	697	900
"BQ2027_MB1306"	666	615	658	651	496	548
"BQ2027_MB1307c"	155	173	138	185	109	124
"BQ2027_MB1308"	2782	2476	2633	816	576	693
"BQ2027_MB1309"	1872	1544	2154	697	570	581
"BQ2027_MB1310"	1062	1018	1127	559	490	625
"BQ2027_MB1311c"	748	808	726	664	511	662
"BQ2027_MB1312c"	381	372	393	350	251	301
"BQ2027_MB1313c"	210	200	211	165	117	144
"BQ2027_MB1314c"	317	324	396	306	212	234
"BQ2027_MB1315"	839	961	937	1045	887	1025
"BQ2027_MB1316"	2459	2634	2746	1607	1465	1221
"BQ2027_MB1317"	1391	1437	1512	1107	1033	958
"BQ2027_MB1318"	316	334	285	194	208	213
"BQ2027_MB1319"	245	212	250	161	95	120
"BQ2027_MB1320"	132	183	141	172	128	141
"BQ2027_MB1321c"	320	266	316	459	296	368
"BQ2027_MB1322"	88	112	93	95	71	97
"BQ2027_MB1323c"	25	20	40	18	13	18
"BQ2027_MB1324"	741	812	826	823	557	790
"BQ2027_MB1325"	704	845	849	902	698	859
"BQ2027_MB1326"	1116	1091	1244	1335	1058	1236
"BQ2027_MB1327"	853	788	1052	1256	948	1138
"BQ2027_MB1328"	636	741	978	387	289	308
"BQ2027_MB1329"	12512	10408	14572	21775	17565	21453
"BQ2027_MB1330"	1932	2135	2255	2189	1705	2006
"BQ2027_MB1331"	1624	1373	1910	1856	1439	1743
"BQ2027_MB1332"	1397	1316	1661	1762	1263	1739
"BQ2027_MB1333"	635	646	739	769	576	689
"BQ2027_MB1334"	352	336	359	295	242	243
"BQ2027_MB1335"	1949	2044	2050	1646	1289	1409
"BQ2027_MB1336"	1799	1833	1937	1655	1369	1779
"BQ2027_MB1337"	2024	1931	2199	1458	1213	1406
"BQ2027_MB1338"	1494	1295	1443	1275	1087	1378
"BQ2027_MB1339"	2942	2523	2950	3259	2883	3327
"BQ2027_MB1340"	4029	3417	3991	4374	3559	4672
"BQ2027_MB1341"	1771	1568	1716	2064	1859	2330
"BQ2027_MB1342"	2675	2214	2688	3104	2660	3060
"BQ2027_MB1343"	826	751	781	895	748	968
"BQ2027_MB1344"	459	444	458	564	496	588
"BQ2027_MB1345c"	500	447	554	393	297	381
"BQ2027_MB1346c"	146	150	174	182	124	145
"BQ2027_MB1347c"	368	312	320	282	246	310
"BQ2027_MB1348"	852	834	996	692	533	619
"BQ2027_MB1349c"	1558	1366	1732	1157	733	1018
"BQ2027_MB1350c"	4982	4011	5590	2362	1483	1914
"BQ2027_MB1351c"	368	376	441	305	181	281
"BQ2027_MB1352c"	2744	2101	2762	858	493	694
"BQ2027_MB1353c"	955	764	956	371	253	340
"BQ2027_MB1354c"	1298	1108	1267	584	397	496
"BQ2027_MB1355"	796	773	816	628	489	644
"BQ2027_MB1356"	670	711	665	828	674	848
"BQ2027_MB1357c"	4100	4150	4250	5718	4515	5992
"BQ2027_MB1358"	4301	3776	4316	5067	3493	4689
"BQ2027_MB1359"	2155	2252	2254	3058	2475	2675
"BQ2027_MB1360c"	173	101	268	356	261	274
"BQ2027_MB1361c"	783	704	811	866	590	728
"BQ2027_MB1362c"	4074	3927	4526	4876	4024	4754
"BQ2027_MB1363"	1769	1449	1666	1139	937	1238
"BQ2027_MB1364c"	351	309	431	458	338	412
"BQ2027_MB1365c"	312	280	329	463	324	377
"BQ2027_MB1366"	890	913	863	1683	1412	1855
"BQ2027_MB1367"	1879	1973	1813	2283	1723	2137
"BQ2027_MB1368"	555	539	740	896	714	737
"BQ2027_MB1369"	820	845	934	551	479	609
"BQ2027_MB1370"	580	523	562	550	395	535
"BQ2027_MB1371"	1025	869	1069	1337	1089	1425
"BQ2027_MB1372"	552	544	564	1022	777	899
"BQ2027_MB1373"	256	277	298	597	413	572
"BQ2027_MB1374"	671	740	716	1334	1104	1548
"BQ2027_MB1375"	755	709	719	986	855	1055
"BQ2027_MB1376"	280	239	306	392	326	375
"BQ2027_MB1377c"	289	323	271	243	212	223
"BQ2027_MB1378c"	313	254	297	305	226	237
"BQ2027_MB1379"	45	34	55	18	19	22
"BQ2027_MB1380"	584	553	575	603	377	406
"BQ2027_MB1381"	380	345	363	321	282	311
"BQ2027_MB1382c"	216	211	234	124	87	149
"BQ2027_MB1383"	484	399	557	364	277	342
"BQ2027_MB1384"	145	154	176	161	121	151
"BQ2027_MB1385"	80	80	101	132	103	137
"BQ2027_MB1386"	143	146	146	126	93	155
"BQ2027_MB1387"	556	723	641	684	500	640
"BQ2027_MB1388c"	125	119	126	105	78	101
"BQ2027_MB1389c"	218	305	289	220	190	245
"BQ2027_MB1390c"	252	295	329	248	201	202
"BQ2027_MB1391c"	391	421	383	603	438	610
"BQ2027_MB1392c"	214	221	193	353	265	392
"BQ2027_MB1393"	146	160	163	142	106	131
"BQ2027_MB1394"	167	178	171	160	149	174
"BQ2027_MB1395"	458	479	531	868	767	977
"BQ2027_MB1396c"	2427	2159	2676	1605	1758	1611
"BQ2027_MB1397c"	206	218	221	526	381	592
"BQ2027_MB1398c"	560	440	565	1358	952	1349
"BQ2027_MB1399c"	905	972	1024	1453	1069	1222
"BQ2027_MB1400c"	247	265	253	129	123	122
"BQ2027_MB1401"	92	107	141	114	66	116
"BQ2027_MB1401A"	381	368	422	331	282	386
"BQ2027_MB1402c"	742	704	763	919	694	807
"BQ2027_MB1403"	273	287	386	319	298	411
"BQ2027_MB1404"	190	202	231	184	137	160
"BQ2027_MB1405"	25	25	33	17	12	18
"BQ2027_MB1406"	224	224	273	141	110	127
"BQ2027_MB1407"	302	331	455	216	165	235
"BQ2027_MB1408"	49	65	70	28	28	23
"BQ2027_MB1409c"	209	290	277	119	94	168
"BQ2027_MB1410"	1050	955	1079	1134	837	1077
"BQ2027_MB1411"	823	677	1068	357	230	253
"BQ2027_MB1412c"	1099	924	1314	420	300	364
"BQ2027_MB1413c"	9534	8018	13036	1532	833	987
"BQ2027_MB1414"	630	715	771	372	279	304
"BQ2027_MB1415"	223	175	270	152	115	110
"BQ2027_MB1416"	1120	1085	1302	502	337	415
"BQ2027_MB1417"	328	285	386	93	93	108
"BQ2027_MB1418"	502	405	554	198	194	218
"BQ2027_MB1419"	1307	1283	1401	1185	938	1151
"BQ2027_MB1420"	286	251	430	423	360	329
"BQ2027_MB1421"	302	272	301	271	182	253
"BQ2027_MB1422"	810	584	850	611	448	650
"BQ2027_MB1423"	3083	2639	3183	1968	1504	1913
"BQ2027_MB1424"	1423	1158	1694	1126	811	835
"BQ2027_MB1425"	7516	7241	8260	6249	5014	6468
"BQ2027_MB1426"	1476	1275	1984	2375	1601	1840
"BQ2027_MB1427"	2764	2239	3179	4315	3150	4112
"BQ2027_MB1428c"	563	484	723	1219	710	1130
"BQ2027_MB1429c"	559	497	679	1155	779	1210
"BQ2027_MB1430"	711	790	1064	457	244	339
"BQ2027_MB1431c"	842	637	1467	1379	926	1034
"BQ2027_MB1432c"	1467	1412	2291	2133	1581	2013
"BQ2027_MB1433c"	2915	3372	3585	4042	2941	3289
"BQ2027_MB1434c"	184	158	228	239	136	149
"BQ2027_MB1435c"	257	219	292	300	212	255
"BQ2027_MB1436"	174	135	179	267	224	182
"BQ2027_MB1437"	335	269	452	533	401	450
"BQ2027_MB1438c"	740	763	891	1120	844	1254
"BQ2027_MB1439"	2371	2298	2666	2059	1534	1871
"BQ2027_MB1440c"	2875	2838	3647	4399	3105	4286
"BQ2027_MB1441"	1154	1100	1427	327	239	262
"BQ2027_MB1442"	630	500	850	402	304	310
"BQ2027_MB1443"	900	815	970	926	737	873
"BQ2027_MB1444"	887	844	1042	1292	930	1089
"BQ2027_MB1445c"	2121	1951	2224	3171	2344	2861
"BQ2027_MB1446c"	2187	1866	2001	2547	1939	2522
"BQ2027_MB1447"	545	593	652	467	329	419
"BQ2027_MB1448"	386	375	412	389	274	364
"BQ2027_MB1449"	55	55	96	54	42	50
"BQ2027_MB1450"	2107	1920	2365	3181	2502	3061
"BQ2027_MB1451"	384	360	382	540	445	571
"BQ2027_MB1452"	112	165	152	255	171	215
"BQ2027_MB1453"	331	407	388	471	380	424
"BQ2027_MB1454"	1683	1930	1930	1856	1527	1933
"BQ2027_MB1455"	1202	1299	1311	1076	881	951
"BQ2027_MB1456"	401	344	454	399	295	383
"BQ2027_MB1457"	724	762	1027	661	413	577
"BQ2027_MB1458"	415	359	478	458	352	384
"BQ2027_MB1459c"	339	313	382	264	213	269
"BQ2027_MB1460"	640	732	798	821	680	798
"BQ2027_MB1461c"	259	253	320	297	263	312
"BQ2027_MB1462c"	662	650	869	462	415	515
"BQ2027_MB1463c"	322	321	322	197	168	164
"BQ2027_MB1464"	270	261	358	156	95	169
"BQ2027_MB1465"	1130	1187	1554	761	514	625
"BQ2027_MB1466"	809	753	898	682	496	693
"BQ2027_MB1467"	166	150	252	175	122	158
"BQ2027_MB1468"	616	564	591	642	552	658
"BQ2027_MB1469"	44	36	72	68	41	56
"BQ2027_MB1470c"	783	626	1171	2174	1648	1833
"BQ2027_MB1471"	2010	1801	1870	1797	1639	1881
"BQ2027_MB1472"	827	685	815	1215	1024	1296
"BQ2027_MB1473"	543	496	540	810	655	785
"BQ2027_MB1474c"	156	159	212	117	82	164
"BQ2027_MB1475"	441	496	377	464	389	507
"BQ2027_MB1476c"	282	177	299	1807	1305	1636
"BQ2027_MB1477"	1055	947	1179	1329	928	1152
"BQ2027_MB1478c"	437	423	413	429	321	386
"BQ2027_MB1479c"	160	193	187	142	129	148
"BQ2027_MB1480c"	325	348	397	493	362	493
"BQ2027_MB1481c"	537	560	706	789	640	794
"BQ2027_MB1482c"	1063	965	1141	1394	1119	1420
"BQ2027_MB1483c"	1905	1685	2031	1783	1350	1787
"BQ2027_MB1484c"	4000	3169	4481	3817	2967	3483
"BQ2027_MB1485c"	381	231	629	288	187	162
"BQ2027_MB1486"	1172	1254	1342	1363	1054	1315
"BQ2027_MB1487c"	147	81	286	130	84	71
"BQ2027_MB1488"	280	215	258	347	275	316
"BQ2027_MB1489c"	547	496	658	878	653	768
"BQ2027_MB1490"	128	136	163	78	53	59
"BQ2027_MB1491c"	328	326	385	185	162	158
"BQ2027_MB1492c"	102	89	113	112	109	88
"BQ2027_MB1493c"	482	443	484	422	354	460
"BQ2027_MB1494c"	553	609	705	817	636	794
"BQ2027_MB1495"	2703	2232	3198	1129	763	871
"BQ2027_MB1496"	3245	3133	3545	3016	2008	2674
"BQ2027_MB1497"	792	640	849	872	629	656
"BQ2027_MB1498"	751	567	691	851	548	744
"BQ2027_MB1499"	735	611	738	982	699	790
"BQ2027_MB1500"	189	186	246	291	255	268
"BQ2027_MB1501"	320	379	332	435	343	454
"BQ2027_MB1502c"	1682	1703	1660	1525	1287	1502
"BQ2027_MB1503c"	1324	979	1616	2491	1816	2081
"BQ2027_MB1504"	402	426	573	322	288	315
"BQ2027_MB1505"	231	271	237	152	121	161
"BQ2027_MB1506"	2788	2892	2962	1064	925	844
"BQ2027_MB1507"	1686	1477	1857	953	666	893
"BQ2027_MB1508"	1321	1214	1508	967	781	836
"BQ2027_MB1509"	71	65	103	195	128	129
"BQ2027_MB1510c"	261	231	309	565	337	486
"BQ2027_MB1511c"	4262	3626	4207	4398	3286	4394
"BQ2027_MB1512"	757	830	724	443	367	458
"BQ2027_MB1513"	1122	969	1251	2185	1603	2054
"BQ2027_MB1514"	391	318	408	861	632	718
"BQ2027_MB1515"	4357	4086	4289	4936	3858	4439
"BQ2027_MB1516"	931	821	1155	1648	1156	1347
"BQ2027_MB1517"	735	681	795	1476	1098	1362
"BQ2027_MB1518c"	77	93	90	64	68	84
