"Seq1.bam"	"Seq2.bam"	"Seq3.bam"	"Seq4.bam"	"Seq5.bam"	"Seq6.bam"
"BQ2027_MB0450c"	623	559	871	1312	1083	1321
"BQ2027_MB0451"	661	695	730	772	546	696
"BQ2027_MB0452c"	1158	1100	1519	2025	1713	2106
"BQ2027_MB0453c"	708	776	824	1179	947	1218
"BQ2027_MB0454c"	1421	1407	1755	2308	1874	2351
"BQ2027_MB0455c"	2962	2638	3597	4779	3917	4725
"BQ2027_MB0456c"	1402	1378	1715	2062	1599	1995
"BQ2027_MB0457c"	9002	8380	10325	8528	6822	7959
"BQ2027_MB0458c"	2595	2600	2705	1677	1330	1834
"BQ2027_MB0459c"	223	189	230	131	120	150
"BQ2027_MB0460"	262	274	330	129	75	81
"BQ2027_MB0461"	402	358	599	278	201	241
"BQ2027_MB0462"	722	755	831	456	434	454
"BQ2027_MB0463c"	1540	1716	1457	950	878	1042
"BQ2027_MB0464c"	270	268	319	138	97	156
"BQ2027_MB0465c"	41	60	54	36	11	18
"BQ2027_MB0466A"	3	1	4	5	4	4
"BQ2027_MB0466c"	647	609	746	305	249	313
"BQ2027_MB0467"	547	513	739	634	447	564
"BQ2027_MB0468"	215	215	235	208	193	196
"BQ2027_MB0469"	489	461	469	304	218	277
"BQ2027_MB0470"	704	667	663	390	264	319
"BQ2027_MB0471"	2791	2721	2800	1867	1616	1867
"BQ2027_MB0472"	265	219	308	489	403	442
"BQ2027_MB0473c"	1127	1175	1102	1502	1213	1415
"BQ2027_MB0474c"	3252	3433	3074	4209	3233	4067
"BQ2027_MB0475"	290	314	350	245	238	213
"BQ2027_MB0476"	5545	4399	6030	8701	6191	8611
"BQ2027_MB0477"	1119	921	1116	1521	1133	1345
"BQ2027_MB0478"	1398	1397	1437	2001	1473	2148
"BQ2027_MB0479c"	2369	2457	2337	2343	1800	2391
"BQ2027_MB0480c"	63	59	57	61	31	37
"BQ2027_MB0481c"	185	164	181	315	233	260
"BQ2027_MB0482c"	1381	1414	1175	2636	2169	2854
"BQ2027_MB0483"	560	655	686	936	754	913
"BQ2027_MB0484"	2022	2176	2453	908	735	857
"BQ2027_MB0485"	4078	3734	4831	4816	3739	4284
"BQ2027_MB0486"	1249	1419	1392	1656	1340	1500
"BQ2027_MB0487"	1281	1138	1486	1211	914	985
"BQ2027_MB0488"	417	400	553	369	310	302
"BQ2027_MB0489c"	2133	2231	2139	1719	1265	1638
"BQ2027_MB0490c"	836	751	839	618	512	526
"BQ2027_MB0491c"	176	152	198	176	137	228
"BQ2027_MB0492"	341	282	336	311	174	291
"BQ2027_MB0493"	6230	5645	6065	4918	4078	5041
"BQ2027_MB0494c"	527	471	607	450	326	397
"BQ2027_MB0495"	3332	2967	4311	4048	3211	3383
"BQ2027_MB0496"	1246	1211	1490	2549	1773	1983
"BQ2027_MB0497"	199	283	252	358	278	296
"BQ2027_MB0498"	116	139	121	178	138	178
"BQ2027_MB0499"	291	330	316	344	299	296
"BQ2027_MB0500"	3019	3097	3471	3694	3024	3694
